START_DATE	END_DATE	NAME	COMMENTS	REFERENCE
1993-12-09	1993-12-09	Storm 1993/Dec		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1994-01-27	1994-01-28	Cyclone Lore	german coast	http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1994-04-01	1994-04-01	Storm 1994/Apr		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1995-01-10	1994-01-10	Storm 1995/Jan		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1995-03-03	1995-03-03	Storm 1995/Mar		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1996-02-18	1996-02-20	Storm 1996/Feb		http://projects.knmi.nl/hydra/stormcatalogus/
1997-03-27	1997-03-28	Cyclone Sonja		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1998-01-04	1998-01-04	Storm 1998/Jan		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1998-03-04	1998-03-05	Cyclones Elvira & Farah		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1998-10-27	1998-10-28	Cyclone Xylia		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1999-02-05	1999-02-05	Storm 1999/Feb		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1999-12-02	1999-12-04	Cyclone Anatol		https://de.wikipedia.org/wiki/Orkan_Anatol
1999-12-25	1999-12-26	Cyclone Lothar		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1999-12-27	1999-12-28	Cyclone Martin		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2000-01-29	2000-01-31	Cyclone Kerstin		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2000-05-27	2000-05-29	Kanaalrat	small size, but high impact	http://projects.knmi.nl/hydra/stormcatalogus/
2000-10-30	2000-10-30	Cyclone Oratia		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2002-01-27	2002-01-29	Cyclone Jennifer		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2002-02-21	2002-02-23	Storm 2002/Feb (1)		http://www.storm-surge.info/sears-sev-list?aoi=/sears/AOI/AOI_010
2002-02-26	2002-02-27	Cyclone Anna		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2002-03-09	2002-03-10	Storm 2002/Mar		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
2002-10-25	2002-10-28	Cyclone Jeanett		https://en.wikipedia.org/wiki/Cyclone_Jeanett
2003-12-13	2003-12-15	Cyclone Fritz		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2003-12-20	2003-12-22	Cyclone Jan		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2004-02-01	2004-02-01	Cyclone Queenie		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2004-02-07	2004-02-08	Cyclone Ursula		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2004-03-20	2004-03-21	Cyclone Oralie		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2005-01-07	2005-01-10	Cyclone Gudrun	Areas affected: UK, Ireland, Norway, Denmark, Sweden, Estonia	https://en.wikipedia.org/wiki/Cyclone_Gudrun	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
2005-02-02	2005-02-02	Cyclone Ulf		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2005-12-16	2005-12-16	Cyclone Dorian		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2006-01-10	2006-01-10	Cyclone Doris		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2006-10-26	2006-10-27	Cyclone Janqui		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2006-10-31	2006-11-01	Cyclone Britta, Allerheiligenflut 2006		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
2006-12-30	2006-12-31	Cyclone Karla		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2007-01-11	2007-01-11	Cyclone Franz		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2007-01-17	2007-01-19	Cyclone Kyrill		https://en.wikipedia.org/wiki/Kyrill_(storm)
2007-11-06	2007-11-11	Cyclone Tilo	Areas affected: Belgium, Denmark, Germany, Netherlands, Norway, UK	https://en.wikipedia.org/wiki/North_Sea_flood_of_2007
2007-12-02	2007-12-03	Cyclone Fridtjof		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-01-26	2008-01-26	Cyclone Paula		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-01-31	2008-01-31	Cyclone Resi		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-02-22	2008-02-22	Cyclone Annette	small size; scandinavian and german coast	http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-03-01	2008-03-01	Cyclone Emma		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-03-09	2008-03-10	Cyclone Johanna		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-03-12	2008-03-12	Cyclone Kirsten		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-10-23	2008-10-24	Cyclone Wilhelmine		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2008-10-25	2008-10-25	Cyclone Xevera		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-01-23	2009-01-23	Cyclone Joris		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-02-10	2009-02-10	Cyclone Quinten		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-09-09	2009-09-09	Cyclone Jochen		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-10-03	2009-10-04	Cyclone Sören		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-11-18	2009-11-18	Cyclone Jürgen		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2009-11-23	2009-11-23	Cyclone Ludwig		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2010-02-28	2010-02-28	Cyclone Xynthia		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2010-11-11	2010-11-12	Cyclone Carmen		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-02-04	2011-02-05	Cyclone Lukas		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-02-07	2011-02-08	Cyclone Nicolas		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-11-22	2011-11-29	Cyclone Berit	Areas affected: Scotland, Ireland, Faroe Islands, Iceland, Norway, Sweden, Finland, Estonia, Russia	https://en.wikipedia.org/wiki/Cyclone_Berit
2011-12-04	2011-12-05	Cyclone Christoph		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-12-07	2011-12-07	Cyclone Ekkehard		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-12-08	2011-12-09	Cyclone Friedhelm		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-12-16	2011-12-16	Cyclone Joachim		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2011-12-25	2011-12-26	Cyclone Patrick		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2012-01-03	2012-01-04	Cyclone Ulli		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2012-01-05	2012-01-05	Cyclone Andrea		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
2013-10-27	2013-10-29	Cyclone Christian		https://de.wikipedia.org/wiki/Orkan_Christian
2013-12-04	2013-12-10	Cyclone Xaver	Areas affected: UK, Ireland, Netherlands, Germany, Denmark, Faroe Islands, Sweden, Norway, Poland, Lithuania, Isle of Man, Belgium	https://en.wikipedia.org/wiki/Cyclone_Xaver
