Date,Hs,P,W
"2012-6-23-7",1.0328,101690.0000,4.2000
"2012-6-23-8",1.1359,101740.0000,3.6000
"2012-6-23-9",1.1272,101830.0000,2.2000
"2012-6-23-10",1.1113,101850.0000,3.0000
"2012-6-23-11",1.0810,101870.0000,4.5000
"2012-6-23-12",1.0914,101940.0000,3.5000
"2012-6-23-13",1.0837,101940.0000,4.5000
"2012-6-23-14",1.0374,101970.0000,3.8000
"2012-6-23-15",1.0113,101970.0000,3.5000
"2012-6-23-16",1.0441,101930.0000,4.0000
"2012-6-23-17",1.0181,101910.0000,3.6000
"2012-6-23-18",0.9639,101880.0000,4.4000
"2012-6-23-19",0.9994,101850.0000,4.5000
"2012-6-23-20",1.0223,101850.0000,3.7000
"2012-6-23-21",0.9582,101810.0000,3.7000
"2012-6-23-22",0.9785,101840.0000,3.5000
"2012-6-23-23",1.0029,101870.0000,4.0000
"2012-6-24-0",0.9357,101950.0000,3.1000
"2012-6-24-1",0.9601,101990.0000,3.3000
"2012-6-24-2",0.9407,102010.0000,3.0000
"2012-6-24-3",0.8694,102050.0000,2.6000
"2012-6-24-4",0.8583,102030.0000,4.2000
"2012-6-24-5",0.8355,101980.0000,4.2000
"2012-6-24-6",0.8347,101940.0000,5.2000
"2012-6-24-7",0.8315,101930.0000,5.3000
"2012-6-24-8",0.8528,101920.0000,5.9000
"2012-6-24-9",0.9332,101910.0000,6.5000
"2012-6-24-10",0.9452,101950.0000,6.0000
"2012-6-24-11",0.9411,101990.0000,4.9000
"2012-6-24-12",0.8649,102010.0000,4.6000
"2012-6-24-13",0.9079,102000.0000,5.6000
"2012-6-24-14",0.8972,102020.0000,5.1000
"2012-6-24-15",0.8510,102000.0000,4.6000
"2012-6-24-16",0.8223,101920.0000,6.4000
"2012-6-24-17",0.9336,101930.0000,5.5000
"2012-6-24-18",0.9318,101940.0000,4.3000
"2012-6-24-19",0.8594,101880.0000,4.8000
"2012-6-24-20",0.8802,101870.0000,4.1000
"2012-6-24-21",0.8771,101870.0000,4.5000
"2012-6-24-22",0.8708,101900.0000,4.7000
"2012-6-24-23",0.9033,101900.0000,5.2000
"2012-6-25-0",0.8583,101910.0000,5.8000
"2012-6-25-1",0.8659,101970.0000,6.0000
"2012-6-25-2",0.8828,101970.0000,5.8000
"2012-6-25-3",0.8935,101930.0000,6.3000
"2012-6-25-4",0.8729,101870.0000,6.6000
"2012-6-25-5",0.9071,101840.0000,5.7000
"2012-6-25-6",0.8990,101790.0000,6.1000
"2012-6-25-7",0.9266,101760.0000,6.0000
"2012-6-25-8",0.8873,101790.0000,5.3000
"2012-6-25-9",0.9464,101830.0000,6.6000
"2012-6-25-10",0.9275,101840.0000,5.9000
"2012-6-25-11",0.9549,101860.0000,7.5000
"2012-6-25-12",1.0561,101890.0000,7.0000
"2012-6-25-13",1.0441,101880.0000,7.6000
"2012-6-25-14",1.0785,101860.0000,7.7000
"2012-6-25-15",1.0391,101870.0000,7.4000
"2012-6-25-16",1.0998,101840.0000,6.7000
"2012-6-25-17",1.1209,101810.0000,6.7000
"2012-6-25-18",1.0974,101740.0000,6.9000
"2012-6-25-19",1.0066,101720.0000,6.7000
"2012-6-25-20",1.0779,101690.0000,5.8000
"2012-6-25-21",1.1182,101720.0000,6.4000
"2012-6-25-22",1.0982,101750.0000,5.8000
"2012-6-25-23",1.0914,101770.0000,6.4000
"2012-6-26-0",1.1164,101820.0000,6.5000
"2012-6-26-1",1.0116,101820.0000,7.1000
"2012-6-26-2",1.0769,101830.0000,7.2000
"2012-6-26-3",1.0606,101810.0000,6.6000
"2012-6-26-4",1.0860,101760.0000,7.1000
"2012-6-26-5",1.1537,101720.0000,7.1000
"2012-6-26-6",1.1220,101680.0000,7.1000
"2012-6-26-7",1.1776,101680.0000,7.5000
"2012-6-26-8",1.1471,101720.0000,7.4000
"2012-6-26-9",1.2089,101750.0000,7.0000
"2012-6-26-10",1.1902,101750.0000,8.1000
"2012-6-26-11",1.2391,101770.0000,8.6000
"2012-6-26-12",1.4325,101820.0000,9.6000
"2012-6-26-13",1.4637,101820.0000,10.8000
"2012-6-26-14",1.3427,101810.0000,8.7000
"2012-6-26-15",1.5591,101840.0000,9.3000
"2012-6-26-16",1.5682,101830.0000,9.0000
"2012-6-26-17",1.6529,101750.0000,8.5000
"2012-6-26-18",1.7017,101730.0000,9.4000
"2012-6-26-19",1.8151,101680.0000,9.3000
"2012-6-26-20",1.7084,101690.0000,8.4000
"2012-6-26-21",1.7785,101680.0000,7.8000
"2012-6-26-22",1.6898,101720.0000,7.4000
"2012-6-26-23",1.4597,101760.0000,8.3000
"2012-6-27-0",1.5790,101840.0000,8.0000
"2012-6-27-1",1.4858,101910.0000,7.5000
"2012-6-27-2",1.5453,101920.0000,7.3000
"2012-6-27-3",1.4715,101920.0000,7.0000
"2012-6-27-4",1.5038,101860.0000,7.6000
"2012-6-27-5",1.4911,101760.0000,9.0000
"2012-6-27-6",1.5438,101740.0000,8.8000
"2012-6-27-7",1.5978,101740.0000,8.8000
"2012-6-27-8",1.6119,101780.0000,8.1000
"2012-6-27-9",1.5005,101870.0000,7.5000
"2012-6-27-10",1.5134,101930.0000,7.1000
"2012-6-27-11",1.4199,101960.0000,6.9000
"2012-6-27-12",1.5863,102000.0000,6.5000
"2012-6-27-13",1.4995,102050.0000,6.2000
"2012-6-27-14",1.4443,102060.0000,7.5000
"2012-6-27-15",1.4365,102030.0000,8.5000
"2012-6-27-16",1.3632,102000.0000,8.6000
"2012-6-27-17",1.4368,101970.0000,8.2000
"2012-6-27-18",1.4630,101960.0000,7.6000
"2012-6-27-19",1.4693,101980.0000,6.2000
"2012-6-27-20",1.4201,101970.0000,6.3000
"2012-6-27-21",1.4601,101980.0000,6.0000
"2012-6-27-22",1.3841,101990.0000,5.9000
"2012-6-27-23",1.3576,102040.0000,5.2000
"2012-6-28-0",1.3167,102080.0000,5.0000
"2012-6-28-1",1.3089,102110.0000,5.0000
"2012-6-28-2",1.1888,102130.0000,5.6000
"2012-6-28-3",1.1836,102090.0000,5.6000
"2012-6-28-4",1.1215,102020.0000,6.0000
"2012-6-28-5",1.1506,101960.0000,5.6000
"2012-6-28-6",1.1126,101910.0000,6.1000
"2012-6-28-7",1.0995,101900.0000,6.3000
"2012-6-28-8",1.1073,101930.0000,7.0000
"2012-6-28-9",1.0583,101980.0000,6.8000
"2012-6-28-10",1.0845,102030.0000,6.6000
"2012-6-28-11",1.1939,102060.0000,6.5000
"2012-6-28-12",1.0405,102070.0000,6.2000
"2012-6-28-13",1.0649,102090.0000,5.5000
"2012-6-28-14",1.1184,102100.0000,5.6000
"2012-6-28-15",1.0578,102100.0000,5.5000
"2012-6-28-16",0.9445,102080.0000,5.6000
"2012-6-28-17",1.0125,102030.0000,5.8000
"2012-6-28-18",0.9427,101990.0000,5.1000
"2012-6-28-19",1.0206,101990.0000,4.2000
"2012-6-28-20",0.9052,101960.0000,3.5000
"2012-6-28-21",0.9680,101970.0000,3.5000
"2012-6-28-22",0.8997,101960.0000,2.7000
"2012-6-28-23",0.9922,101990.0000,2.9000
"2012-6-29-0",0.8712,101980.0000,3.4000
"2012-6-29-1",0.7984,101980.0000,2.7000
"2012-6-29-2",0.8385,101950.0000,3.1000
"2012-6-29-3",0.8734,101910.0000,3.3000
"2012-6-29-4",0.8363,101850.0000,2.8000
"2012-6-29-5",0.7798,101840.0000,2.7000
"2012-6-29-6",0.8142,101830.0000,2.6000
"2012-6-29-7",0.7757,101840.0000,2.1000
"2012-6-29-8",0.8362,101830.0000,2.3000
"2012-6-29-9",0.8333,101870.0000,1.9000
"2012-6-29-10",0.7807,101930.0000,2.9000
"2012-6-29-11",0.8154,101940.0000,3.1000
"2012-6-29-12",0.8997,101920.0000,3.0000
"2012-6-29-13",1.0721,101930.0000,3.3000
"2012-6-29-14",1.0330,101920.0000,3.1000
"2012-6-29-15",1.1695,101920.0000,3.1000
"2012-6-29-16",1.1350,101880.0000,3.2000
"2012-6-29-17",1.0645,101840.0000,3.2000
"2012-6-29-18",1.1248,101810.0000,2.1000
"2012-6-29-19",1.2135,101790.0000,0.8000
"2012-6-29-20",1.1758,101740.0000,0.3000
"2012-6-29-21",1.0724,101750.0000,0.2000
"2012-6-29-22",0.9970,101770.0000,0.7000
"2012-6-29-23",1.0490,101810.0000,0.9000
"2012-6-30-0",0.9159,101830.0000,1.4000
"2012-6-30-1",0.9887,101840.0000,1.8000
"2012-6-30-2",1.0392,101860.0000,2.7000
"2012-6-30-3",1.0524,101820.0000,3.1000
"2012-6-30-4",1.0998,101780.0000,2.8000
"2012-6-30-5",1.0705,101700.0000,2.6000
"2012-6-30-6",1.1334,101660.0000,2.7000
"2012-6-30-7",1.0453,101650.0000,2.5000
"2012-6-30-8",1.1163,101660.0000,2.2000
"2012-6-30-9",1.0805,101750.0000,1.9000
"2012-6-30-10",1.0229,101800.0000,4.6000
"2012-6-30-11",1.0853,101870.0000,3.8000
"2012-6-30-12",1.0532,101880.0000,4.0000
"2012-6-30-13",1.0419,101910.0000,4.0000
"2012-6-30-14",1.0422,101920.0000,3.6000
"2012-6-30-15",1.1072,101930.0000,3.6000
"2012-6-30-16",1.1174,101910.0000,4.2000
"2012-6-30-17",1.1431,101880.0000,5.4000
"2012-6-30-18",1.0830,101850.0000,5.3000
"2012-6-30-19",1.1496,101810.0000,5.6000
"2012-6-30-20",1.0548,101760.0000,5.8000
"2012-6-30-21",0.9848,101730.0000,6.6000
"2012-6-30-22",1.0102,101770.0000,6.6000
"2012-6-30-23",0.9966,101800.0000,6.8000
"2012-7-1-0",1.0575,101860.0000,5.8000
"2012-7-1-1",1.0095,101890.0000,6.6000
"2012-7-1-2",0.9588,101950.0000,6.1000
"2012-7-1-3",0.9844,101950.0000,5.1000
"2012-7-1-4",0.9629,101920.0000,4.9000
"2012-7-1-5",0.9207,101880.0000,4.9000
"2012-7-1-6",0.8825,101850.0000,4.8000
"2012-7-1-7",0.8115,101850.0000,4.7000
"2012-7-1-8",0.7986,101880.0000,4.3000
"2012-7-1-9",0.7531,101910.0000,4.4000
"2012-7-1-10",0.7935,101980.0000,4.6000
"2012-7-1-11",0.7567,102040.0000,4.5000
"2012-7-1-12",0.7603,102040.0000,4.9000
"2012-7-1-13",0.8084,102070.0000,5.4000
"2012-7-1-14",0.7669,102090.0000,5.2000
"2012-7-1-15",0.8154,102100.0000,5.3000
"2012-7-1-16",0.8287,102080.0000,5.1000
"2012-7-1-17",0.8367,102040.0000,4.9000
"2012-7-1-18",0.8104,102000.0000,5.0000
"2012-7-1-19",0.8403,101980.0000,4.8000
"2012-7-1-20",0.8084,101970.0000,4.9000
"2012-7-1-21",0.8079,101990.0000,6.2000
"2012-7-1-22",0.8371,102010.0000,5.9000
"2012-7-1-23",0.8665,102040.0000,5.5000
"2012-7-2-0",0.9337,102060.0000,5.9000
"2012-7-2-1",0.9684,102050.0000,5.9000
"2012-7-2-2",0.9374,102060.0000,6.0000
"2012-7-2-3",1.0004,102040.0000,6.4000
"2012-7-2-4",1.0236,101950.0000,6.6000
"2012-7-2-5",1.0884,101920.0000,6.4000
"2012-7-2-6",1.0960,101910.0000,5.6000
"2012-7-2-7",1.0905,101870.0000,5.7000
"2012-7-2-8",1.1346,101850.0000,5.6000
"2012-7-2-9",1.0894,101870.0000,6.0000
"2012-7-2-10",1.1138,101910.0000,5.0000
"2012-7-2-11",1.1011,101990.0000,5.9000
"2012-7-2-12",1.1313,102000.0000,6.2000
"2012-7-2-13",1.2088,102010.0000,6.6000
"2012-7-2-14",1.1723,102060.0000,6.1000
"2012-7-2-15",1.2291,102070.0000,6.5000
"2012-7-2-16",1.0753,102070.0000,3.9000
"2012-7-2-17",1.1828,102050.0000,5.6000
"2012-7-2-18",1.1132,102030.0000,9.6000
"2012-7-2-19",1.1328,101930.0000,3.7000
"2012-7-2-20",1.0332,101880.0000,4.4000
"2012-7-2-21",1.0413,101900.0000,6.1000
"2012-7-2-22",1.0751,101930.0000,5.6000
"2012-7-2-23",1.1919,101970.0000,5.5000
"2012-7-3-0",1.1151,102000.0000,4.7000
"2012-7-3-1",1.1956,101990.0000,5.3000
"2012-7-3-2",1.2331,102000.0000,5.5000
"2012-7-3-3",1.1665,101970.0000,5.5000
"2012-7-3-4",1.2377,101920.0000,5.6000
"2012-7-3-5",1.3083,101870.0000,5.0000
"2012-7-3-6",1.2866,101830.0000,5.2000
"2012-7-3-7",1.2481,101790.0000,5.8000
"2012-7-3-8",1.2444,101780.0000,5.5000
"2012-7-3-9",1.2596,101820.0000,5.0000
"2012-7-3-10",1.1636,101870.0000,6.5000
"2012-7-3-11",1.2877,101910.0000,6.2000
"2012-7-3-12",1.3106,101980.0000,5.7000
"2012-7-3-13",1.2249,102000.0000,6.3000
"2012-7-3-14",1.2521,102030.0000,5.1000
"2012-7-3-15",1.3298,102050.0000,6.4000
"2012-7-3-16",1.2434,102040.0000,5.1000
"2012-7-3-17",1.3190,102010.0000,6.5000
"2012-7-3-18",1.3998,101950.0000,5.6000
"2012-7-3-19",1.3730,101950.0000,6.1000
"2012-7-3-20",1.3824,101910.0000,5.9000
"2012-7-3-21",1.3028,101920.0000,5.1000
"2012-7-3-22",1.2371,101940.0000,4.6000
"2012-7-3-23",1.2318,101990.0000,4.6000
"2012-7-4-0",1.1673,102000.0000,5.3000
"2012-7-4-1",1.2363,102010.0000,5.7000
"2012-7-4-2",1.2226,102010.0000,6.0000
"2012-7-4-3",1.2365,101940.0000,6.2000
"2012-7-4-4",1.2252,101890.0000,6.3000
"2012-7-4-5",1.1852,101830.0000,6.8000
"2012-7-4-6",1.2707,101820.0000,6.7000
"2012-7-4-7",1.3196,101840.0000,6.0000
"2012-7-4-8",1.2994,101830.0000,7.0000
"2012-7-4-9",1.2461,101900.0000,5.9000
"2012-7-4-10",1.3028,101920.0000,5.9000
"2012-7-4-11",1.3433,101980.0000,5.7000
"2012-7-4-12",1.1732,101980.0000,6.1000
"2012-7-4-13",1.3238,102020.0000,6.1000
"2012-7-4-14",1.2885,102070.0000,5.9000
"2012-7-4-15",1.2279,102090.0000,5.7000
"2012-7-4-16",1.2529,102060.0000,6.3000
"2012-7-4-17",1.2341,102030.0000,7.0000
"2012-7-4-18",1.2845,101980.0000,7.6000
"2012-7-4-19",1.2414,101920.0000,5.8000
"2012-7-4-20",1.2540,101880.0000,6.0000
"2012-7-4-21",1.2667,101870.0000,6.0000
"2012-7-4-22",1.2570,101860.0000,6.0000
"2012-7-4-23",1.2357,101890.0000,6.5000
"2012-7-5-0",1.2803,101910.0000,7.0000
"2012-7-5-1",1.3425,101920.0000,7.0000
"2012-7-5-2",1.3929,101910.0000,6.9000
"2012-7-5-3",1.3587,101880.0000,6.8000
"2012-7-5-4",1.3420,101830.0000,6.7000
"2012-7-5-5",1.4196,101800.0000,7.4000
"2012-7-5-6",1.4648,101750.0000,6.5000
"2012-7-5-7",1.4610,101730.0000,7.0000
"2012-7-5-8",1.4736,101760.0000,5.7000
"2012-7-5-9",1.5062,101770.0000,5.4000
"2012-7-5-10",1.4416,101810.0000,5.5000
"2012-7-5-11",1.5379,101840.0000,5.4000
"2012-7-5-12",1.4656,101850.0000,5.6000
"2012-7-5-13",1.4888,101840.0000,6.3000
"2012-7-5-14",1.4406,101860.0000,6.7000
"2012-7-5-15",1.4377,101890.0000,7.1000
"2012-7-5-16",1.4029,101840.0000,7.5000
"2012-7-5-17",1.5152,101820.0000,7.7000
"2012-7-5-18",1.6058,101760.0000,6.7000
"2012-7-5-19",1.5552,101780.0000,10.5000
"2012-7-5-20",1.6465,101790.0000,5.9000
"2012-7-5-21",1.7277,101810.0000,6.9000
"2012-7-5-22",1.7266,101810.0000,7.4000
"2012-7-5-23",1.7512,101760.0000,6.2000
"2012-7-6-0",1.9161,101860.0000,8.5000
"2012-7-6-1",1.9523,101900.0000,8.1000
"2012-7-6-2",1.9220,101930.0000,9.2000
"2012-7-6-3",1.9838,101880.0000,9.5000
"2012-7-6-4",1.9284,101800.0000,8.7000
"2012-7-6-5",1.9335,101680.0000,7.4000
"2012-7-6-6",1.7710,101590.0000,5.6000
"2012-7-6-7",1.6877,101560.0000,3.4000
"2012-7-6-8",1.6096,101650.0000,3.0000
"2012-7-6-9",1.7120,101780.0000,4.9000
"2012-7-6-10",1.6268,101870.0000,4.2000
"2012-7-6-11",1.4798,101910.0000,5.2000
"2012-7-6-12",1.5195,101970.0000,5.0000
"2012-7-6-13",1.3891,101980.0000,4.9000
"2012-7-6-14",1.4205,101980.0000,5.6000
"2012-7-6-15",1.3068,101980.0000,4.9000
"2012-7-6-16",1.3077,101990.0000,4.8000
"2012-7-6-17",1.3113,101970.0000,7.1000
"2012-7-6-18",1.2326,101950.0000,6.3000
"2012-7-6-19",1.3559,101930.0000,4.6000
"2012-7-6-20",1.3195,101910.0000,4.2000
"2012-7-6-21",1.2421,101880.0000,4.6000
"2012-7-6-22",1.3647,101870.0000,5.6000
"2012-7-6-23",1.3175,101860.0000,5.3000
"2012-7-7-0",1.3901,101870.0000,5.8000
"2012-7-7-1",1.3772,101900.0000,5.6000
"2012-7-7-2",1.2743,101960.0000,5.9000
"2012-7-7-3",1.4010,101940.0000,5.2000
"2012-7-7-4",1.3679,101920.0000,5.3000
"2012-7-7-5",1.4547,101860.0000,5.5000
"2012-7-7-6",1.3670,101870.0000,5.0000
"2012-7-7-7",1.3429,101890.0000,4.6000
"2012-7-7-8",1.2582,101900.0000,5.9000
"2012-7-7-9",1.2957,101910.0000,5.7000
"2012-7-7-10",1.2971,101940.0000,5.4000
"2012-7-7-11",1.2694,101960.0000,5.7000
"2012-7-7-12",1.2745,101970.0000,6.5000
"2012-7-7-13",1.2460,102030.0000,6.2000
"2012-7-7-14",1.2963,102070.0000,6.0000
"2012-7-7-15",1.2790,102070.0000,7.8000
"2012-7-7-16",1.2934,102080.0000,4.7000
"2012-7-7-17",1.4129,102010.0000,6.2000
"2012-7-7-18",1.2655,102030.0000,4.2000
"2012-7-7-19",1.1838,101990.0000,3.6000
"2012-7-7-20",1.2492,101930.0000,4.1000
"2012-7-7-21",1.2391,101860.0000,5.9000
"2012-7-7-22",1.2778,101870.0000,6.0000
"2012-7-7-23",1.2411,101900.0000,6.1000
"2012-7-8-0",1.2989,101910.0000,6.3000
"2012-7-8-1",1.2125,101960.0000,5.9000
"2012-7-8-2",1.1342,101990.0000,4.9000
"2012-7-8-3",1.1684,101960.0000,5.9000
"2012-7-8-4",1.2233,101920.0000,6.2000
"2012-7-8-5",1.2400,101860.0000,6.2000
"2012-7-8-6",1.3018,101870.0000,5.2000
"2012-7-8-7",1.2635,101860.0000,5.0000
"2012-7-8-8",1.2709,101850.0000,5.5000
"2012-7-8-9",1.3399,101870.0000,4.6000
"2012-7-8-10",1.2619,101900.0000,4.3000
"2012-7-8-11",1.2510,101930.0000,5.1000
"2012-7-8-12",1.2788,101970.0000,4.8000
"2012-7-8-13",1.2144,101990.0000,4.5000
"2012-7-8-14",1.2090,102020.0000,5.6000
"2012-7-8-15",1.2789,102020.0000,6.0000
"2012-7-8-16",1.2680,101980.0000,5.5000
"2012-7-8-17",1.2420,101950.0000,5.6000
"2012-7-8-18",1.3008,101920.0000,5.6000
"2012-7-8-19",1.3564,101870.0000,6.2000
"2012-7-8-20",1.2392,101830.0000,6.1000
"2012-7-8-21",1.2894,101820.0000,6.6000
"2012-7-8-22",1.2544,101810.0000,7.1000
"2012-7-8-23",1.3614,101830.0000,6.7000
"2012-7-9-0",1.3557,101840.0000,6.9000
"2012-7-9-1",1.2799,101860.0000,6.4000
"2012-7-9-2",1.3011,101890.0000,6.6000
"2012-7-9-3",1.2107,101870.0000,6.6000
"2012-7-9-4",1.2217,101810.0000,6.9000
"2012-7-9-5",1.3083,101750.0000,6.3000
"2012-7-9-6",1.3729,101720.0000,6.7000
"2012-7-9-7",1.3217,101720.0000,6.4000
"2012-7-9-8",1.2886,101720.0000,6.5000
"2012-7-9-9",1.3666,101760.0000,6.4000
"2012-7-9-10",1.3515,101800.0000,6.3000
"2012-7-9-11",1.3766,101840.0000,6.4000
"2012-7-9-12",1.3064,101890.0000,6.2000
"2012-7-9-13",1.3392,101910.0000,5.6000
"2012-7-9-14",1.3588,101930.0000,6.2000
"2012-7-9-15",1.3951,101930.0000,6.7000
"2012-7-9-16",1.3131,101900.0000,6.9000
"2012-7-9-17",1.3715,101860.0000,6.3000
"2012-7-9-18",1.4574,101810.0000,6.7000
"2012-7-9-19",1.3491,101780.0000,7.6000
"2012-7-9-20",1.4275,101770.0000,7.9000
"2012-7-9-21",1.4227,101740.0000,8.3000
"2012-7-9-22",1.4549,101740.0000,7.1000
"2012-7-9-23",1.3669,101790.0000,7.6000
"2012-7-10-0",1.4549,101830.0000,8.5000
"2012-7-10-1",1.5280,101850.0000,8.8000
"2012-7-10-2",1.5749,101880.0000,8.6000
"2012-7-10-3",1.6595,101860.0000,8.3000
"2012-7-10-4",1.5919,101780.0000,7.5000
"2012-7-10-5",1.6471,101720.0000,7.7000
"2012-7-10-6",1.6166,101700.0000,7.8000
"2012-7-10-7",1.5030,101700.0000,8.0000
"2012-7-10-8",1.6179,101690.0000,7.4000
"2012-7-10-9",1.6116,101750.0000,7.8000
"2012-7-10-10",1.5893,101820.0000,7.9000
"2012-7-10-11",1.6128,101860.0000,7.8000
"2012-7-10-12",1.5694,101890.0000,7.2000
"2012-7-10-13",1.5193,101950.0000,6.8000
"2012-7-10-14",1.5096,101950.0000,7.6000
"2012-7-10-15",1.5308,101970.0000,10.4000
"2012-7-10-16",1.5627,101970.0000,3.3000
"2012-7-10-17",1.4834,101940.0000,5.3000
"2012-7-10-18",1.5033,101880.0000,6.9000
"2012-7-10-19",1.5075,101890.0000,5.8000
"2012-7-10-20",1.5179,101860.0000,5.9000
"2012-7-10-21",1.4775,101840.0000,7.5000
"2012-7-10-22",1.5327,101870.0000,7.1000
"2012-7-10-23",1.5384,101900.0000,7.2000
"2012-7-11-0",1.6539,101860.0000,8.1000
"2012-7-11-1",1.5039,101830.0000,9.9000
"2012-7-11-2",1.6601,101880.0000,9.4000
"2012-7-11-3",1.6494,101890.0000,8.3000
"2012-7-11-4",1.6011,101870.0000,6.3000
"2012-7-11-5",1.4538,101840.0000,6.7000
"2012-7-11-6",1.4593,101780.0000,7.1000
"2012-7-11-7",1.5198,101810.0000,6.3000
"2012-7-11-8",1.4828,101880.0000,6.2000
"2012-7-11-9",1.5028,101900.0000,5.1000
"2012-7-11-10",1.5199,101940.0000,5.2000
"2012-7-11-11",1.6058,101980.0000,5.9000
"2012-7-11-12",1.6066,101990.0000,6.6000
"2012-7-11-13",1.4546,101990.0000,6.7000
"2012-7-11-14",1.4064,101990.0000,6.4000
"2012-7-11-15",1.3483,101950.0000,6.3000
"2012-7-11-16",1.4106,101910.0000,6.1000
"2012-7-11-17",1.3171,101840.0000,5.6000
"2012-7-11-18",1.3509,101820.0000,5.4000
"2012-7-11-19",1.1917,101820.0000,5.0000
"2012-7-11-20",1.2886,101800.0000,5.1000
"2012-7-11-21",1.2509,101750.0000,5.3000
"2012-7-11-22",1.2728,101750.0000,6.4000
"2012-7-11-23",1.3674,101780.0000,7.8000
"2012-7-12-0",1.3972,101830.0000,6.6000
"2012-7-12-1",1.3959,101870.0000,5.8000
"2012-7-12-2",1.3144,101900.0000,6.9000
"2012-7-12-3",1.3419,101870.0000,8.0000
"2012-7-12-4",1.2852,101840.0000,6.7000
"2012-7-12-5",1.4680,101790.0000,6.2000
"2012-7-12-6",1.3021,101720.0000,6.6000
"2012-7-12-7",1.3417,101700.0000,10.0000
"2012-7-12-8",1.4038,101650.0000,6.2000
"2012-7-12-9",1.2776,101690.0000,7.1000
"2012-7-12-10",1.4229,101750.0000,7.0000
"2012-7-12-11",1.5884,101800.0000,6.8000
"2012-7-12-12",1.5452,101800.0000,7.7000
"2012-7-12-13",1.5010,101780.0000,7.6000
"2012-7-12-14",1.5461,101830.0000,7.1000
"2012-7-12-15",1.5117,101830.0000,7.4000
"2012-7-12-16",1.5145,101800.0000,7.7000
"2012-7-12-17",1.5292,101790.0000,7.1000
"2012-7-12-18",1.5491,101740.0000,5.8000
"2012-7-12-19",1.4036,101710.0000,8.6000
"2012-7-12-20",1.5455,101670.0000,5.8000
"2012-7-12-21",1.6045,101670.0000,6.4000
"2012-7-12-22",1.6645,101710.0000,6.7000
"2012-7-12-23",1.6573,101750.0000,6.6000
"2012-7-13-0",1.5900,101790.0000,4.8000
"2012-7-13-1",1.5847,101800.0000,5.0000
"2012-7-13-2",1.6226,101800.0000,5.6000
"2012-7-13-3",1.5164,101760.0000,7.0000
"2012-7-13-4",1.6651,101700.0000,8.2000
"2012-7-13-5",1.6140,101620.0000,7.9000
"2012-7-13-6",1.6026,101600.0000,7.6000
"2012-7-13-7",1.6443,101610.0000,7.9000
"2012-7-13-8",1.7342,101610.0000,7.7000
"2012-7-13-9",1.7212,101630.0000,8.0000
"2012-7-13-10",1.7583,101700.0000,7.1000
"2012-7-13-11",1.8303,101730.0000,8.3000
"2012-7-13-12",1.9867,101770.0000,8.0000
"2012-7-13-13",1.8913,101800.0000,7.5000
"2012-7-13-14",1.8262,101830.0000,9.7000
"2012-7-13-15",1.9468,101800.0000,9.2000
"2012-7-13-16",1.9080,101790.0000,7.4000
"2012-7-13-17",1.8501,101770.0000,5.8000
"2012-7-13-18",1.8586,101740.0000,6.9000
"2012-7-13-19",1.7881,101710.0000,4.7000
"2012-7-13-20",1.7554,101670.0000,6.4000
"2012-7-13-21",1.6230,101670.0000,6.2000
"2012-7-13-22",1.7989,101720.0000,6.2000
"2012-7-13-23",1.6496,101760.0000,6.6000
"2012-7-14-0",1.5894,101820.0000,7.2000
"2012-7-14-1",1.6686,101860.0000,6.4000
"2012-7-14-2",1.6229,101870.0000,6.1000
"2012-7-14-3",1.6148,101860.0000,5.9000
"2012-7-14-4",1.5379,101820.0000,5.4000
"2012-7-14-5",1.5469,101760.0000,5.6000
"2012-7-14-6",1.6458,101710.0000,6.0000
"2012-7-14-7",1.7242,101740.0000,3.8000
"2012-7-14-8",1.7056,101740.0000,5.3000
"2012-7-14-9",1.5623,101810.0000,5.8000
"2012-7-14-10",1.7899,101870.0000,6.3000
"2012-7-14-11",1.7837,101940.0000,6.2000
"2012-7-14-12",1.9355,101970.0000,6.2000
"2012-7-14-13",1.7768,101990.0000,6.1000
"2012-7-14-14",1.7945,102030.0000,6.4000
"2012-7-14-15",1.7980,102070.0000,5.6000
"2012-7-14-16",1.6672,102080.0000,5.6000
"2012-7-14-17",1.6642,102050.0000,5.9000
"2012-7-14-18",1.5965,102020.0000,5.5000
"2012-7-14-19",1.5461,102020.0000,6.8000
"2012-7-14-20",1.4425,101990.0000,4.9000
"2012-7-14-21",1.6431,101990.0000,4.7000
"2012-7-14-22",1.4996,102060.0000,4.8000
"2012-7-14-23",1.6713,102080.0000,4.8000
"2012-7-15-0",1.6965,102140.0000,5.3000
"2012-7-15-1",1.7581,102190.0000,5.8000
"2012-7-15-2",1.5503,102210.0000,5.9000
"2012-7-15-3",1.7492,102180.0000,5.6000
"2012-7-15-4",1.7107,102140.0000,7.2000
"2012-7-15-5",1.8508,102090.0000,6.8000
"2012-7-15-6",1.8551,102010.0000,7.8000
"2012-7-15-7",1.7516,101990.0000,7.9000
"2012-7-15-8",1.7227,101990.0000,8.4000
"2012-7-15-9",1.8723,102020.0000,7.9000
"2012-7-15-10",1.8390,102060.0000,8.2000
"2012-7-15-11",1.8320,102140.0000,8.0000
"2012-7-15-12",1.7181,102150.0000,7.6000
"2012-7-15-13",1.7740,102180.0000,8.1000
"2012-7-15-14",1.8649,102220.0000,6.5000
"2012-7-15-15",1.7950,102220.0000,6.5000
"2012-7-15-16",1.7468,102200.0000,7.0000
