Date,Hs,P,W
"2012-6-6-2",0.8948,101750.0000,5.8000
"2012-6-6-3",0.7789,101710.0000,6.1000
"2012-6-6-4",0.8403,101700.0000,6.3000
"2012-6-6-5",0.8122,101660.0000,5.8000
"2012-6-6-6",0.8333,101630.0000,5.7000
"2012-6-6-7",0.8794,101630.0000,5.7000
"2012-6-6-8",0.8746,101640.0000,5.9000
"2012-6-6-9",0.8554,101690.0000,5.8000
"2012-6-6-10",0.8570,101770.0000,5.9000
"2012-6-6-11",0.8733,101820.0000,6.1000
"2012-6-6-12",0.8281,101860.0000,6.6000
"2012-6-6-13",0.8241,101920.0000,6.8000
"2012-6-6-14",0.8957,101970.0000,7.1000
"2012-6-6-15",0.9285,101990.0000,6.8000
"2012-6-6-16",0.9746,101970.0000,6.9000
"2012-6-6-17",1.0270,101950.0000,6.1000
"2012-6-6-18",1.0247,101920.0000,5.5000
"2012-6-6-19",1.0281,101870.0000,4.9000
"2012-6-6-20",1.0048,101870.0000,5.0000
"2012-6-6-21",1.1261,101880.0000,4.7000
"2012-6-6-22",1.0051,101930.0000,4.7000
"2012-6-6-23",1.0109,101960.0000,5.2000
"2012-6-7-0",0.9712,101990.0000,5.6000
"2012-6-7-1",1.0453,102030.0000,6.0000
"2012-6-7-2",1.0472,102040.0000,6.3000
"2012-6-7-3",0.9886,102030.0000,6.5000
"2012-6-7-4",1.0582,101960.0000,7.5000
"2012-6-7-5",1.1306,101900.0000,7.5000
"2012-6-7-6",1.1225,101870.0000,6.9000
"2012-6-7-7",1.1495,101860.0000,6.9000
"2012-6-7-8",1.1066,101850.0000,7.2000
"2012-6-7-9",1.1565,101890.0000,8.0000
"2012-6-7-10",1.2762,101900.0000,8.1000
"2012-6-7-11",1.3266,101920.0000,8.6000
"2012-6-7-12",1.3245,101920.0000,8.5000
"2012-6-7-13",1.3729,101940.0000,8.1000
"2012-6-7-14",1.2091,101960.0000,7.5000
"2012-6-7-15",1.3125,101930.0000,8.2000
"2012-6-7-16",1.2408,101890.0000,7.9000
"2012-6-7-17",1.3497,101870.0000,7.4000
"2012-6-7-18",1.3167,101830.0000,7.2000
"2012-6-7-19",1.2796,101820.0000,6.8000
"2012-6-7-20",1.2292,101820.0000,6.4000
"2012-6-7-21",1.2268,101840.0000,5.3000
"2012-6-7-22",1.2845,101870.0000,4.8000
"2012-6-7-23",1.2441,101890.0000,5.5000
"2012-6-8-0",1.1529,101930.0000,4.5000
"2012-6-8-1",1.2245,101930.0000,4.9000
"2012-6-8-2",1.2748,101880.0000,7.3000
"2012-6-8-3",1.2543,101870.0000,5.8000
"2012-6-8-4",1.2810,101880.0000,4.0000
"2012-6-8-5",1.2188,101820.0000,4.3000
"2012-6-8-6",1.1706,101770.0000,5.9000
"2012-6-8-7",1.1254,101740.0000,6.3000
"2012-6-8-8",1.1569,101730.0000,6.2000
"2012-6-8-9",1.0948,101740.0000,6.1000
"2012-6-8-10",1.1460,101770.0000,6.6000
"2012-6-8-11",1.1252,101770.0000,6.9000
